Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,PoolScore,SimplOverallGrade,SimplExterGrade,SimplPoolScore,SimplGarageScore,SimplFireplaceScore,SimplKitchenScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan
1461,SC20,RH,80.0,11622,2,,4,Lvl,4.0,Inside,3,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3.0,3.0,0.0,3.0,468.0,2.0,144.0,270.0,882.0,GasA,3,Y,SBrkr,896,0,0,896,0.0,0.0,1,0,2,1,3.0,5,8.0,0,,Attchd,1961.0,Unf,1.0,730.0,3.0,3.0,2,140,0,0,0,120,0,,MnPrv,,0,Jun,2010,WD,Normal,2,2,,1.0,1.0,,4.0,1.0,1,1.0,1.0,1.0,1.0,1,1,30,9.0,9,3.0,,2190.0,,4,1,,730.0,,1.0,1.0,1778.0,896,120,0.0,0
1462,SC20,RL,81.0,14267,2,,3,Lvl,4.0,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,3,3,CBlock,3.0,3.0,0.0,5.0,923.0,1.0,0.0,406.0,1329.0,GasA,3,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,4.0,6,8.0,0,,Attchd,1958.0,Unf,1.0,312.0,3.0,3.0,2,393,36,0,0,0,0,,,Gar2,12500,Jun,2010,WD,Normal,2,2,,1.0,1.0,,4.0,2.0,1,2.0,1.0,1.0,1.0,1,1,36,9.0,9,4.0,,936.0,,4,1,,312.0,,2.0,1.5,2658.0,1329,36,1.0,0
1463,SC60,RL,74.0,13830,2,,3,Lvl,4.0,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,0.0,6.0,791.0,1.0,0.0,137.0,928.0,GasA,4,Y,SBrkr,928,701,0,1629,0.0,0.0,2,1,3,1,3.0,6,8.0,1,3.0,Attchd,1997.0,Fin,2.0,482.0,3.0,3.0,2,212,34,0,0,0,0,,MnPrv,,0,Mar,2010,WD,Normal,2,2,,1.0,1.0,1.0,4.0,1.0,2,2.0,1.0,1.0,2.0,1,1,25,9.0,9,3.0,3.0,1446.0,,4,1,,482.0,1.0,1.0,2.5,2557.0,1629,34,0.0,0
1464,SC60,RL,78.0,9978,2,,3,Lvl,4.0,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,3,3,PConc,3.0,3.0,0.0,6.0,602.0,1.0,0.0,324.0,926.0,GasA,5,Y,SBrkr,926,678,0,1604,0.0,0.0,2,1,3,1,4.0,7,8.0,1,4.0,Attchd,1998.0,Fin,2.0,470.0,3.0,3.0,2,360,36,0,0,0,0,,,,0,Jun,2010,WD,Normal,2,2,,1.0,1.0,2.0,4.0,2.0,2,2.0,1.0,1.0,1.0,1,1,36,9.0,9,4.0,4.0,1410.0,,4,1,,470.0,2.0,2.0,2.5,2530.0,1604,36,1.0,0
1465,SC120,RL,43.0,5005,2,,3,HLS,4.0,Inside,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4.0,3.0,0.0,5.0,263.0,1.0,0.0,1017.0,1280.0,GasA,5,Y,SBrkr,1280,0,0,1280,0.0,0.0,2,0,2,1,4.0,5,8.0,0,,Attchd,1992.0,RFn,2.0,506.0,3.0,3.0,2,0,82,0,0,144,0,,,,0,Jan,2010,WD,Normal,3,2,,1.0,1.0,,4.0,2.0,2,2.0,1.0,1.0,2.0,1,2,40,9.0,12,4.0,,1518.0,,6,2,,506.0,,2.0,2.0,2560.0,1280,226,0.0,0
1466,SC60,RL,75.0,10000,2,,3,Lvl,4.0,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4.0,3.0,0.0,1.0,0.0,1.0,0.0,763.0,763.0,GasA,4,Y,SBrkr,763,892,0,1655,0.0,0.0,2,1,3,1,3.0,7,8.0,1,3.0,Attchd,1993.0,Fin,2.0,440.0,3.0,3.0,2,157,84,0,0,0,0,,,,0,Apr,2010,WD,Normal,2,2,,1.0,1.0,1.0,4.0,1.0,2,1.0,1.0,1.0,2.0,1,1,30,9.0,9,3.0,3.0,1320.0,,4,1,,440.0,1.0,1.0,2.5,2418.0,1655,84,0.0,0
1467,SC20,RL,,7980,2,,3,Lvl,4.0,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4.0,3.0,0.0,5.0,935.0,1.0,0.0,233.0,1168.0,GasA,5,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3.0,6,8.0,0,,Attchd,1992.0,Fin,2.0,420.0,3.0,3.0,2,483,21,0,0,0,0,,GdPrv,Shed,500,Mar,2010,WD,Normal,2,3,,1.0,1.0,,4.0,1.0,2,2.0,1.0,1.0,2.0,2,1,42,9.0,12,3.0,,1260.0,,6,2,,420.0,,1.0,3.0,2355.0,1187,21,0.0,0
1468,SC60,RL,63.0,8402,2,,3,Lvl,4.0,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,0.0,1.0,0.0,1.0,0.0,789.0,789.0,GasA,4,Y,SBrkr,789,676,0,1465,0.0,0.0,2,1,3,1,3.0,7,8.0,1,4.0,Attchd,1998.0,Fin,2.0,393.0,3.0,3.0,2,0,75,0,0,0,0,,,,0,May,2010,WD,Normal,2,2,,1.0,1.0,2.0,4.0,1.0,2,1.0,1.0,1.0,2.0,1,1,30,9.0,9,3.0,4.0,1179.0,,4,1,,393.0,2.0,1.0,2.5,2254.0,1465,75,0.0,0
1469,SC20,RL,85.0,10176,2,,4,Lvl,4.0,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4.0,3.0,3.0,6.0,637.0,1.0,0.0,663.0,1300.0,GasA,4,Y,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,4.0,5,8.0,1,1.0,Attchd,1990.0,Unf,2.0,506.0,3.0,3.0,2,192,0,0,0,0,0,,,,0,Feb,2010,WD,Normal,3,2,,1.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,2.0,1,1,35,9.0,9,4.0,1.0,1518.0,,6,1,,506.0,1.0,2.0,2.5,2641.0,1341,0,0.0,0
1470,SC20,RL,70.0,8400,2,,4,Lvl,4.0,Corner,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3.0,3.0,0.0,5.0,804.0,3.0,78.0,0.0,882.0,GasA,3,Y,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,3.0,4,8.0,0,,Attchd,1970.0,Fin,2.0,525.0,3.0,3.0,2,240,0,0,0,0,0,,MnPrv,,0,Apr,2010,WD,Normal,2,2,,1.0,1.0,,4.0,1.0,1,2.0,1.0,1.0,1.0,1,1,20,9.0,9,3.0,,1575.0,,4,1,,525.0,,1.0,2.0,1764.0,882,0,0.0,0
